lang,title_len_bin,bin_count,avg_quality,high_quality_ratio
ar,0,941628,17.148016,0.001238
ar,20,276180,17.06437,0.001343
ar,40,19134,15.688341,0.003188
ar,60,932,19.628418,0.006438
ar,80,56,19.280421,0.0
ar,120,1,6.7076,0.0
ar,100,12,21.654525,0.0
az,0,149317,15.640638,0.001781
az,20,47212,14.197684,0.00233
az,40,3910,17.337472,0.006905
az,60,499,18.461732,0.006012
az,80,96,18.891444,0.0
az,100,13,13.213715,0.0
az,120,5,11.02318,0.0
az,180,1,14.9851,0.0
az,140,1,15.9923,0.0
be,0,149570,12.185108,0.000662
be,20,87233,14.277248,0.000734
be,40,7208,12.843628,0.001526
be,60,836,11.324084,0.0
be,80,123,11.009212,0.0
be,100,15,8.84606,0.0
bg,0,209224,17.41997,0.002734
bg,20,82557,18.592811,0.002556
bg,40,7154,17.419741,0.005172
bg,60,767,18.144971,0.003911
bg,80,75,16.260367,0.0
bg,100,8,22.14425,0.0
bg,120,2,20.885,0.0
ca,0,486812,20.879491,0.004474
ca,20,241032,21.669161,0.005045
ca,40,22656,22.670187,0.008121
ca,60,5378,17.772398,0.003905
ca,80,413,17.168835,0.007264
ca,100,39,20.686372,0.0
ca,120,15,25.486147,0.0
ca,200,1,21.1394,0.0
ca,140,2,25.18445,0.0
cs,0,384650,16.19904,0.002589
cs,20,139709,17.180409,0.002412
cs,40,23150,16.222719,0.002765
cs,60,2933,14.635411,0.002387
cs,80,190,16.592075,0.005263
cs,100,25,16.017768,0.0
cs,140,3,12.885167,0.0
cs,160,1,9.6213,0.0
cs,120,4,18.405675,0.0
cs,180,1,18.0119,0.0
da,0,225708,9.706123,0.001249
da,20,70021,9.922025,0.001414
da,40,4987,10.774673,0.001805
da,60,480,12.542494,0.002083
da,80,61,9.580308,0.0
da,100,18,6.171217,0.0
de,0,1905402,17.825979,0.004998
de,20,870932,19.98329,0.005687
de,40,128750,20.700403,0.008
de,60,22623,22.011463,0.006321
de,80,2822,23.504603,0.012403
de,100,319,25.661426,0.018809
de,120,75,24.957551,0.013333
de,140,31,26.069839,0.0
de,180,9,17.878289,0.0
de,160,6,22.498167,0.0
de,200,2,20.77815,0.0
el,0,150429,22.913547,0.006874
el,20,73777,23.322598,0.008471
el,40,11345,22.716002,0.008814
el,60,1904,19.580333,0.005252
el,80,207,17.800258,0.004831
el,120,1,15.3604,0.0
el,100,8,21.5699,0.0
en,0,4127163,23.689258,0.012649
en,20,2309116,26.094035,0.016091
en,40,362817,27.475724,0.020327
en,60,55717,25.168506,0.020155
en,80,5111,24.539444,0.017218
en,100,383,27.57208,0.018277
en,120,79,28.894752,0.012658
en,140,27,23.08447,0.0
en,180,5,19.89818,0.0
en,160,9,21.022533,0.0
en,200,2,19.2222,0.0
en,240,1,41.2705,0.0
eo,0,277827,11.333308,0.003214
eo,20,74530,12.823701,0.002026
eo,40,4033,13.825247,0.00248
eo,60,256,13.905775,0.0
eo,80,35,19.375266,0.028571
eo,100,11,12.2113,0.0
eo,180,1,2.537,0.0
eo,120,3,10.602667,0.0
eo,140,2,24.63115,0.0
es,0,1193408,18.587918,0.003449
es,20,616584,18.975311,0.004454
es,40,84278,19.695418,0.006514
es,60,9408,19.099848,0.006165
es,80,1142,19.275628,0.004378
es,100,195,21.141033,0.005128
es,140,13,13.417262,0.0
es,120,58,18.961372,0.017241
es,160,4,14.75175,0.0
es,200,1,22.3759,0.0
es,180,1,18.8251,0.0
es,240,1,30.7973,0.0
et,0,196771,18.054711,0.004879
et,20,44921,18.030484,0.005454
et,40,4269,19.247425,0.004919
et,60,500,16.006509,0.014
et,80,42,25.841967,0.0
et,160,1,18.1555,0.0
et,100,5,46.75442,0.0
et,120,1,30.934,0.0
et,140,1,27.0946,0.0
et,200,1,34.2891,0.0
eu,0,296137,15.710706,0.001702
eu,20,125299,16.315596,0.001157
eu,40,8563,9.391539,0.002102
eu,60,575,14.332489,0.001739
eu,80,90,15.198131,0.0
eu,180,1,1.2121,0.0
eu,100,8,16.443388,0.0
eu,120,2,14.4381,0.0
eu,140,2,16.4527,0.0
fa,0,822587,11.245226,0.001134
fa,20,177929,12.073052,0.001725
fa,40,7891,15.571013,0.005323
fa,60,531,15.64432,0.00565
fa,80,23,18.447457,0.0
fa,100,7,25.851786,0.0
fa,120,1,17.1867,0.0
fi,0,430525,17.491395,0.002687
fi,20,131601,18.011025,0.002576
fi,40,13047,18.369565,0.005595
fi,60,2184,21.466018,0.013278
fi,80,157,16.851164,0.006369
fi,100,18,22.884256,0.0
fi,200,3,14.587067,0.0
fr,0,1695075,15.792672,0.003032
fr,20,764102,16.593524,0.003904
fr,40,141785,17.197841,0.004055
fr,60,22172,17.407771,0.005051
fr,80,2581,18.345755,0.004262
fr,100,366,19.640347,0.008197
fr,140,35,21.77612,0.0
fr,120,81,21.683756,0.0
